id,title,content,fullContent,priority,sourceDepartment,category,createdAt,isRead
noti-sinkhole, "[긴급] 강남역 대규모 파형 재난 발생","현장구조팀 긴급 소집 요청. 강남역 포식자 싱크홀 발생.","[긴급 출동 요청]\n\n수신: 전사 임직원\n발신: 현장구조팀장\n\n현재 시각부로 강남역 인근에서 대규모 싱크홀 및 '포식자' 형태의 괴생명체 반응이 확인되었습니다 \n(코드명: 강남역 포식자 싱크홀).\n초기 측정 결과 '파형' 급으로 추정되며, \n다수의 민간인 사상자가 발생하고 있습니다.\n\n출동구조반(현무) 전원은 즉시 장비를 갖추고 현장으로 출동해주시기 바라며, \n신규조사반(백호)은 주변 봉쇄 및 정보 통제를 지원해주십시오.\n현장정리반(주작)은 2선에서 대기해주시기 바랍니다.\n\n이상.","긴급","현무반","안전","2026-01-03T20:00:00",false
noti-001,"정신 감응형 재난 예방을 위한 오염 검사 및 선녀탕 이용 안내","최근 증가하는 정신 오염 위협에 대비하여 정기적인 오염도 검사와 용천 선녀탕 이용을 적극 권장합니다.","수 신: 전 직원\n발 신: 본부\n제 목: 정신 감응형 재난 예방을 위한 오염 검사 및 선녀탕 이용 안내\n\n최근 원인을 알 수 없는 '정신 감응형(Psych-Resonance)' 재난 및 초자연 오염 현상이 전사적으로 급증하고 있습니다.\n이에 본부에서는 직원 여러분의 정신 건강 보호와 안전한 근무 환경 조성을 위하여 다음과 같은 예방 조치를 적극 권장합니다.\n\n1. 오염도 정기 검사 생활화\n   - 업무 시작 전후, 개인 단말기를 통한 오염도 확인 필수\n   - 오염 수치 20% 이상 감지 시 즉시 업무 중단 및 보고\n\n2. 용천 선녀탕 적극 이용\n   - 정신적 피로감이나 원인 모를 불안감(환청, 환각 등) 발생 시 지체 없이 '용천 선녀탕'을 방문하여 정화\n   - 현장 근무자에게는 주 2회 이용권 추가 지급 예정\n\n직원 여러분의 건강한 정신 상태가 곧 우리 기관의 대응 역량입니다. 조금이라도 이상 징후가 느껴질 경우 즉시 조치를 취해주시기 바랍니다.\n\n본부 상황실","필독","본부","안전","2026-01-03T19:50:00",false
noti-002,"2026년 1월 인사 발령 안내","2026년 1월 1일자 정기 인사 발령 사항을 안내합니다.","수 신: 전 직원\n발 신: 인사팀\n제 목: 2026년 1월 정기 인사 발령 안내\n\n다음과 같이 정기 인사 발령을 실시하오니 참고하시기 바랍니다.\n\n■ 발령일자: 2026년 1월 1일(수)\n\n■ 승진 인사 (총 12명)\n  - 6급 → 5급: 김은하(현장정리반4팀 팀장) 외 4명\n  - 7급 → 6급: 안병진(신규조사반5팀), 신진기(출동구조반2팀) 외 3명\n  - 8급 → 7급: 한수아(출동구조반7팀), 김기현(현장정리반3팀) 외 2명\n\n■ 전보 인사 (총 5명)\n  - 김하진: 신규조사반7팀 → 신규조사반2팀\n  - 이영희: 현장정리반1팀 → 본부 총무팀\n  (이하 생략)\n\n■ 신규 임용 (총 8명)\n  - 9급 실무관: 8명 (신규조사반 3명, 출동구조반 3명, 현장정리반 2명)\n\r\n승진하신 직원 여러분께 축하 말씀 드리며, 발령받으신 분들은 소속 팀장께 보고 후 업무 인수인계를 진행하여 주시기 바랍니다.\n\n인사팀장 김현기","필독","인사팀","인사","2026-01-03T07:18:29",false
noti-003,"2026년 1분기 보안 점검 실시 안내","보안 점검 주간 운영에 따른 협조 요청 사항 안내","수 신: 전 직원\n발 신: 보안팀\n제 목: 2026년 1분기 보안 점검 실시 안내\n\n다음과 같이 보안 점검을 실시하오니 적극 협조하여 주시기 바랍니다.\n\n■ 점검 기간: 2026년 1월 6일(월) ~ 1월 10일(금)\n■ 점검 대상: 전 사무실 및 연구실\n■ 점검 내용\n  1. 기밀 문서(3급 이상) 보관 상태 확인\n  2. PC 보안 프로그램 업데이트 확인\n  3. 출입증 관리 상태 점검\r\n  4. 외부인 출입 기록 확인\n\n■ 협조 사항\n  가. 점검 시작 전 책상 위 기밀 문서 반드시 금고 보관\n  나. 미사용 PC는 전원 차단 및 보안 스티커 부착\n  다. 보안 서약서 미제출자는 1월 5일(금)까지 제출\n  라. 외부 반입 USB는 보안팀 검수 후 사용\n\n※ 위반 사항 적발 시 인사 규정에 따라 조치하오니 유의하시기 바랍니다.\n\n보안팀 한경환","일반","보안팀","보안","2026-01-03T14:42:10",false
noti-004,"2026년 1월 구내식당 식단표 안내","1월 한 달간 구내식당 식단표를 안내합니다.","수 신: 전 직원\n발 신: 총무팀\n제 목: 2026년 1월 구내식당 식단표 안내\n\n2026년 1월 한 달간 구내식당 식단표를 아래와 같이 안내합니다.\n\n■ 운영 시간\n  - 조식: 07:30 ~ 09:00\n  - 중식: 11:30 ~ 13:30\n  - 석식: 17:30 ~ 19:00\n\n■ 1월 첫째 주 메뉴\n  [월] 김치찌개, 계란후라이, 김치, 깍두기\n  [화] 된장찌개, 고등어구이, 시금치나물, 배추김치\n  [수] 부대찌개, 계란찜, 무생채, 깍두기\n  [목] 순두부찌개, 제육볶음, 콩나물무침, 김치\n  [금] 미역국, 생선까스, 샐러드, 깍두기\n\n※ 전체 식단표는 첨부 파일을 참고하시기 바랍니다.\n※ 현장 출동 인원은 도시락 신청 가능합니다. (전날 16시까지 총무팀에 신청)\n\n맛있는 식사 하시고 건강 유의하시기 바랍니다.\n\n총무팀 박수아","일반","총무팀","복지","2026-01-03T13:40:10",false
noti-005,"인트라넷 시스템 정기 점검 안내","인트라넷 시스템 정기 점검으로 인한 일시 중단 안내","수 신: 전 직원\n발 신: 전산팀\n제 목: 인트라넷 시스템 정기 점검 안내\n\n인트라넷 시스템 정기 점검으로 인해 아래와 같이 서비스가 일시 중단됩니다.\n\n■ 점검 일시: 2026년 1월 5일(일) 02:00 ~ 06:00 (4시간)\n■ 점검 내용\n  - 서버 보안 패치 적용\n  - 데이터베이스 최적화\n  - 백업 시스템 점검\n  - 신규 기능 업데이트\n\n■ 서비스 중단 범위\n  - 인트라넷 전체 서비스 (해태 시스템)\n  - 결재 시스템\n  - 장비 신청 시스템\n  - 방문 신청 시스템\n\n■ 주의 사항\n  - 점검 시작 전 작성 중인 문서는 반드시 저장\n  - 점검 시간 중 긴급 업무는 유선으로 처리\n  - 점검 완료 후 로그인 시 비밀번호 재설정 필요\n\n서비스 이용에 불편을 드려 죄송하며, 양해해 주시기 바랍니다.\n\n전산팀 최연수","일반","전산팀","시스템","2026-01-03T06:11:45",false
noti-006,"차량 운행 일지 작성 철저 요망","출동구조반 대상 차량 운행 일지 미작성 건 증가에 따른 주의 사항","수 신: 출동구조반 전 인원\n발 신: 총무팀\n제 목: 차량 운행 일지 작성 철저 요망\n\n최근 차량 운행 일지 미작성 건수가 증가하고 있어 아래와 같이 재공지합니다.\n\n■ 현황\n  - 12월 차량 운행 일지 미작성: 총 15건\n  - 주요 원인: 현장 복귀 후 작성 누락\n\n■ 조치 사항\n  1. 차량 운행 시 반드시 운행 일지 작성 (의무사항)\n  2. 운행 일지 미작성 시 차량 배차 제한\n  3. 3회 이상 미작성 시 시말서 제출\n\n■ 작성 항목\n  - 운행 목적 (출동/순찰/공용)\n  - 출발/도착 시간 및 거리\n  - 주유 내역\n  - 특이사항 (사고, 고장 등)\n\n현장 업무로 바쁘시더라도 반드시 작성하여 주시기 바랍니다.\n\n총무팀 박수아","일반","총무팀","규정","2026-01-03T04:59:31",false
noti-007,"신규 장비 사용법 교육 실시 안내","도깨비 초롱 개선형 사용법 교육 일정 안내","수 신: 신규조사반, 출동구조반 전 인원\n발 신: 교육훈련팀\n제 목: 신규 장비 사용법 교육 실시 안내\n\n도깨비공방과의 협력으로 개발된 '도깨비 초롱 개선형'의 사용법 교육을 아래와 같이 실시합니다.\n\n■ 교육 일정\n  - 1차: 2026년 1월 8일(수) 14:00~16:00 (신규조사반)\n  - 2차: 2026년 1월 9일(목) 14:00~16:00 (출동구조반)\n\n■ 교육 장소: 본관 지하 3층 대회의실\n\n■ 교육 내용\n  1. 도깨비 초롱 개선형 주요 기능 소개\n  2. 기존 모델 대비 개선 사항\n  3. 안전 사용 수칙 및 주의사항\n  4. 실습 (도깨비 시련 방지법)\n\n■ 강사: 도깨비공방 장인 ■■님\n\n■ 준비물: 필기도구, 기존 도깨비 초롱(소지자에 한함)\n\n해당 장비를 사용할 예정이신 분들은 필히 참석하여 주시기 바랍니다.\n\n교육훈련팀장 정현아","일반","본부","교육","2026-01-03T04:11:55",false
noti-008,"2026년 신년 하례식 개최 안내","2026년 새해를 맞이하여 신년 하례식을 개최합니다.","수 신: 전 직원\n발 신: 총무팀\n제 목: 2026년 신년 하례식 개최 안내\n\n2026년 새해를 맞이하여 신년 하례식을 아래와 같이 개최하오니 참석하여 주시기 바랍니다.\n\n■ 일시: 2026년 1월 2일(목) 10:00\n■ 장소: 본관 1층 대강당\n■ 참석 대상: 전 직원 (현장 근무자 제외)\n\n■ 행사 순서\n  1. 국민의례\n  2. 국장 신년사\n  3. 2025년 유공 직원 포상\n  4. 부서별 다짐 발표\n  5. 만세삼창\n\n■ 복장: 정장 착용\n\n■ 유의사항\n  - 09:50까지 입장 완료\n  - 현장 근무자는 추후 영상으로 시청 가능\n  - 행사 후 다과 제공\n\n새해 복 많이 받으시고, 건강하시기 바랍니다.\n\n총무팀 신기우","일반","본부","행사","2026-01-01T19:47:27",true
noti-009,"간이 유리감옥 신규 입고 안내","소형 개체 봉인용 간이 유리감옥 신규 입고","수 신: 전 직원\n발 신: 총무팀 (장비 관리 담당)\n제 목: 간이 유리감옥 신규 입고 안내\n\n소형 개체 봉인용 '간이 유리감옥' 신규 입고 사항을 안내합니다.\n\n■ 입고 수량: 20개\n■ 입고일: 2026년 1월 3일(금)\n■ 제작처: 바리데기 세공소\n\n■ 주요 사양\n  - 크기: 지름 3cm\n  - 재질: 강화 영석 유리\n  - 봉인 시간: 최대 72시간\n  - 적용 대상: 고형급 이하 소형 개체\n\n■ 대여 방법\n  - 인트라넷 '장비/서비스' 메뉴에서 신청\n  - 승인 필요 (팀장 결재)\n  - 대여 기간: 최대 7일\n\n■ 주의사항\n  - 뇌형급 이상 개체에는 사용 금지\n  - 파손 시 변상 또는 시말서 제출\n  - 사용 후 반드시 정화 과정 거쳐 반납\n\r\n필요하신 분들은 적극 활용하시기 바랍니다.\n\n총무팀 채현준","필독","총무팀","장비","2026-01-02T07:16:18",false
noti-010,"용천 선녀탕 정기 휴무 안내","1월 정기 청소로 인한 용천 선녀탕 임시 휴무","수 신: 전 직원\n발 신: 총무팀\n제 목: 용천 선녀탕 정기 휴무 안내\n\n정신 오염 정화 시설인 '용천 선녀탕'의 정기 청소로 인해 아래 기간 동안 임시 휴무합니다.\n\n■ 휴무 기간: 2026년 1월 15일(수) 전일\n■ 휴무 사유: 연 1회 정기 청소 및 시설 점검\n■ 재개 일시: 2026년 1월 16일(목) 06:00\n\n■ 유의사항\n  - 해당 기간 예약은 자동 취소\n  - 긴급 정화가 필요한 경우 본부에 보고\n  - 재개 후 예약은 1월 14일(화)부터 가능\n\n불편을 드려 죄송하며, 양해해 주시기 바랍니다.\n\n총무팀 박수아","일반","총무팀","복지","2026-01-03T08:05:53",false