id,title,content,fullContent,author,createdAt,isRead,priority,sourceDepartment,category,isUrgent,department
notice-segwang-19,【최종】전 요원에게,"마지막 메시지를 남긴다. 서울 본부는 응답이 없다. 외부 지원은 오지 않는다.
우리는 할 수 있는 모든 것을 했다. 15,000명의 시민을 지하철로 대피시켰다.
하지만 역들이 변하고 있다. 대피소가 재난이 되고 있다.
이 기록을 보는 누군가에게, 우리는 끝까지 싸웠다. 세광특별시를 기억해달라.","마지막 메시지를 남긴다. 서울 본부는 응답이 없다. 외부 지원은 오지 않는다.
우리는 할 수 있는 모든 것을 했다. 15,000명의 시민을 지하철로 대피시켰다.
하지만 역들이 변하고 있다. 대피소가 재난이 되고 있다.
이 기록을 보는 누군가에게, 우리는 끝까지 싸웠다. 세광특별시를 기억해달라.",지부장,2024-05-04T23:47:00,false,긴급,본부,공지,true,baekho
notice-segwang-18,【시스템】자동 백업 완료,전체 데이터 백업 완료. 서버실 환경 이상 감지. 비상 전원 가동 중 (배터리 3%).,전체 데이터 백업 완료. 서버실 환경 이상 감지. 비상 전원 가동 중 (배터리 3%).,시스템,2024-05-04T23:46:00,false,긴급,전산팀,시스템,true,hyunmu
notice-segwang-17,【긴급】전 요원 귀환 명령,"즉시 지하철역에서 철수하라. 반복한다. 즉시 철수하라.
역들을 봉쇄한다. 더 이상 대피소가 아니다.","즉시 지하철역에서 철수하라. 반복한다. 즉시 철수하라.
역들을 봉쇄한다. 더 이상 대피소가 아니다.",지부장,2024-05-04T23:42:00,false,긴급,본부,안전,true,baekho
notice-segwang-16,【시스템】외부 네트워크 전면 차단,서울 본부 연결 실패 (15회 연속). 내부망만 사용 가능.,서울 본부 연결 실패 (15회 연속). 내부망만 사용 가능.,시스템,2024-05-04T23:35:00,false,긴급,전산팀,시스템,true,hyunmu
notice-segwang-15,【비상】지하철 순환선 이상 발생,"각 역 담당 요원 긴급 보고: 자정역 카지노 시설 변이, 한밤역 도서관 이상현상,
오후역 방송 설비 무단 작동, 한낮역 주거지역 공간 왜곡.
시민 대피는 계속하되 최대한 경계하라.","각 역 담당 요원 긴급 보고: 자정역 카지노 시설 변이, 한밤역 도서관 이상현상,
오후역 방송 설비 무단 작동, 한낮역 주거지역 공간 왜곡.
시민 대피는 계속하되 최대한 경계하라.",지부장,2024-05-04T23:31:00,false,긴급,본부,안전,true,baekho
notice-segwang-14,【경고】지상 관측 금지령,"전 요원에게 명령한다. 지상을 보지 마라. 하늘을 보지 마라.
이미 여러 요원이 정신 오염을 보고했다. 지하로만 이동하라.","전 요원에게 명령한다. 지상을 보지 마라. 하늘을 보지 마라.
이미 여러 요원이 정신 오염을 보고했다. 지하로만 이동하라.",지부장,2024-05-04T23:15:00,false,긴급,보안팀,안전,true,baekho
notice-segwang-13,【시스템】서울 본부 통신 두절,"본부 연결 실패. 강원도 지부 연결 실패. 인천 지부 연결 실패.
자체 대응 모드로 전환.","본부 연결 실패. 강원도 지부 연결 실패. 인천 지부 연결 실패.
자체 대응 모드로 전환.",시스템,2024-05-04T22:58:00,false,긴급,전산팀,시스템,true,hyunmu
notice-segwang-12,【속보】지상 대피 경로 전면 차단,"모든 지상 경로가 차단되었다. 도로, 건물, 모든 것이 변했다.
지하철이 유일한 대피 경로다. 순환선 7개 역으로 시민을 집중시켜라.","모든 지상 경로가 차단되었다. 도로, 건물, 모든 것이 변했다.
지하철이 유일한 대피 경로다. 순환선 7개 역으로 시민을 집중시켜라.",지부장,2024-05-04T22:47:00,false,긴급,본부,안전,true,baekho
notice-segwang-11,【비상】순환선 7개 역 임시 대피소 지정 완료,"세광역, 자정역, 한밤역, 황혼역, 오후역, 한낮역, 아침역.
각 역에 담당 요원 배치 완료. 시민 수용 최대한 진행하라.","세광역, 자정역, 한밤역, 황혼역, 오후역, 한낮역, 아침역.
각 역에 담당 요원 배치 완료. 시민 수용 최대한 진행하라.",지부장,2024-05-04T22:34:00,false,긴급,본부,안전,true,baekho
notice-segwang-10,【시스템】자동 재난 등급 산정: 멸형급,"피해 규모 추산 불가. 전 지역 단위 이상현상 확인.
자동으로 강원도 지부에 지원 요청 발송됨.","피해 규모 추산 불가. 전 지역 단위 이상현상 확인.
자동으로 강원도 지부에 지원 요청 발송됨.",시스템,2024-05-04T22:15:00,false,긴급,전산팀,시스템,true,hyunmu
notice-segwang-09,【경고】세광역 부근 대규모 공간 왜곡,"세광역 주변 지형이 변하고 있습니다. 도로가 사라지고 건물이 뒤틀립니다.
미확인 개체 다수 포착. 즉시 지원 요청합니다.","세광역 주변 지형이 변하고 있습니다. 도로가 사라지고 건물이 뒤틀립니다.
미확인 개체 다수 포착. 즉시 지원 요청합니다.",백호 1팀,2024-05-04T22:01:00,false,필독,백호반,안전,true,baekho
notice-segwang-08,【긴급】미확인 현상 확산 속도 증가,"최초 발생지로부터 반경 5km 확산 확인. 확산 속도 가속 중.
30분 내 전 시 단위 확산 예상.","최초 발생지로부터 반경 5km 확산 확인. 확산 속도 가속 중.
30분 내 전 시 단위 확산 예상.",백호 2팀,2024-05-04T21:43:00,false,긴급,백호반,안전,true,baekho
notice-segwang-07,【비상소집】멸형급 재난 가능성,"전 요원 즉시 집결. 비상 대응 프로토콜 발동.
시민 대피 작전 개시. 지하철 순환선을 대피 경로로 지정.","전 요원 즉시 집결. 비상 대응 프로토콜 발동.
시민 대피 작전 개시. 지하철 순환선을 대피 경로로 지정.",지부장,2024-05-04T21:30:00,false,긴급,본부,안전,true,baekho
notice-segwang-06,【시스템】이상현상 다수 동시 보고,"20:47~21:00 사이 시내 전역에서 47건의 이상현상 신고 접수.
자동 분류 실패. 수동 대응 필요.","20:47~21:00 사이 시내 전역에서 47건의 이상현상 신고 접수.
자동 분류 실패. 수동 대응 필요.",시스템,2024-05-04T21:05:00,false,긴급,전산팀,시스템,true,hyunmu
notice-segwang-05,【긴급】시내 전역 미확인 현상 발생,"구시가지 ██번지 일대에서 시작된 것으로 추정.
하늘이 이상합니다. 무언가가 내려오고 있습니다.","구시가지 ██번지 일대에서 시작된 것으로 추정.
하늘이 이상합니다. 무언가가 내려오고 있습니다.",백호 1팀,2024-05-04T20:47:00,false,긴급,백호반,안전,true,baekho
notice-segwang-04,【주의】구시가지 이상현상 신고 증가,19:50부터 구시가지 일대 신고 급증. 현재 47건 신고 접수. 백호팀 출동 요청.,19:50부터 구시가지 일대 신고 급증. 현재 47건 신고 접수. 백호팀 출동 요청.,당직실,2024-05-04T20:22:00,false,필독,총무팀,안전,false,jujak
notice-segwang-03,5월 정기 안전교육 일정 안내,"5월 8일(목) 14:00, 세광지부 대회의실에서 정기 안전교육을 실시합니다.
전 요원 필참. - 장비관리반","5월 8일(목) 14:00, 세광지부 대회의실에서 정기 안전교육을 실시합니다.
전 요원 필참. - 장비관리반",장비관리반,2024-05-04T19:55:00,false,일반,인사팀,교육,false,jujak
notice-segwang-new-1,【속보】구시가지 최초 이상현상 발생,"구시가지 골목 일대에서 미확인 이상현상 최초 식별.
순찰팀 즉시 확인 요망. 시민 접근 통제 바람.","구시가지 골목 일대에서 미확인 이상현상 최초 식별.
순찰팀 즉시 확인 요망. 시민 접근 통제 바람.",당직실,2024-05-04T19:47:00,false,긴급,총무팀,안전,true,jujak
notice-segwang-02,이번 주 당직 순서 안내,"5/5(월) 현무2팀, 5/6(화) 백호1팀, 5/7(수) 주작1팀... - 당직실","5/5(월) 현무2팀, 5/6(화) 백호1팀, 5/7(수) 주작1팀... - 당직실",당직실,2024-05-04T19:30:00,false,일반,총무팀,공지,false,jujak